"Species","Survey.Name","Individuals","Independent","Site","Trail","Camera.Name","Paired","Latitude","Longitude","X","Y","Elevation","Elevation.Num","Habitat","Season","Camera.Start.Date","Camera.End.Date","Date","Time","Hour","Minute","Time.In.Radians","Daytime","Image.ID","Common"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-30,"21:23:01",NA,NA,NA,NA,"06300347.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-30,"21:22:58",NA,NA,NA,NA,"06300344.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:54",NA,NA,NA,NA,"06190162.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-30,"21:22:59",NA,NA,NA,NA,"06300345.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:53",NA,NA,NA,NA,"06190160.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:02:00",NA,NA,NA,NA,"06190165.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-22,"16:49:18",NA,NA,NA,NA,"06220556.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",2,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-30,"21:23:01",NA,NA,NA,NA,"06300348.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",2,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-30,"21:23:02",NA,NA,NA,NA,"06300350.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:54",NA,NA,NA,NA,"06190161.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:53",NA,NA,NA,NA,"06190159.JPG","Tayra"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-03-14,"09:22:11",NA,NA,NA,NA,"03140045.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K04",NA,9.18999,-83.06283,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-03-08,"12:43:52",NA,NA,NA,NA,"03080001.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K05b",NA,9.20264,-83.05823,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-13,"09:49:13",NA,NA,NA,NA,"Jaguar extraño!.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-03-14,"09:22:10",NA,NA,NA,NA,"03140044.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-03-08,"08:51:20",NA,NA,NA,NA,"03080004.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-03-14,"09:22:03",NA,NA,NA,NA,"03140039.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-13,"11:42:43",NA,NA,NA,NA,"Jaguar extraño!.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-03-14,"09:22:01",NA,NA,NA,NA,"03140038.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K04",NA,9.18999,-83.06283,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Wet","2021-03-08","2021-07-20",2021-07-20,"07:43:48",NA,NA,NA,NA,"07200640.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Wet","2021-03-08","2021-07-20",2021-07-20,"00:59:14",NA,NA,NA,NA,"07200487.JPG","Human"
"Homo sapiens","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-03-08,"09:59:54",NA,NA,NA,NA,"03080002.JPG","Human"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-06-27,"03:22:13",NA,NA,NA,NA,"06270467.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K04",NA,9.18999,-83.06283,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-04-21,"06:00:29",NA,NA,NA,NA,"04210359.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K04",NA,9.18999,-83.06283,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-04-21,"06:00:28",NA,NA,NA,NA,"04210358.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K04",NA,9.18999,-83.06283,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-04-21,"06:00:25",NA,NA,NA,NA,"04210356.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K04",NA,9.18999,-83.06283,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-04-21,"06:00:30",NA,NA,NA,NA,"04210360.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K04",NA,9.18999,-83.06283,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-04-21,"06:00:27",NA,NA,NA,NA,"04210357.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:23",NA,NA,NA,NA,"04100551.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:13",NA,NA,NA,NA,"04100545.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:22",NA,NA,NA,NA,"04100550.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-06-27,"03:22:14",NA,NA,NA,NA,"06270468.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"07:51:44",NA,NA,NA,NA,"04100808.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-27,"03:32:45",NA,NA,NA,NA,"06270716.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:45",NA,NA,NA,NA,"04100793.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:14",NA,NA,NA,NA,"04100546.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"07:51:44",NA,NA,NA,NA,"04100807.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"07:46:14",NA,NA,NA,NA,"04100555.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:47",NA,NA,NA,NA,"04100795.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:45",NA,NA,NA,NA,"04100792.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:19",NA,NA,NA,NA,"04100549.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:46",NA,NA,NA,NA,"04100794.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:42",NA,NA,NA,NA,"04100789.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-06-27,"03:22:12",NA,NA,NA,NA,"06270466.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-27,"03:32:46",NA,NA,NA,NA,"06270717.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:12",NA,NA,NA,NA,"04100544.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:51",NA,NA,NA,NA,"04100799.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"07:46:17",NA,NA,NA,NA,"04100556.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-09,"04:30:44",NA,NA,NA,NA,"04090732.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:18",NA,NA,NA,NA,"04100548.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:49",NA,NA,NA,NA,"04100796.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-09,"04:30:47",NA,NA,NA,NA,"04090736.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-27,"03:32:42",NA,NA,NA,NA,"06270713.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-27,"03:32:45",NA,NA,NA,NA,"06270715.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-09,"04:30:45",NA,NA,NA,NA,"04090733.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:24",NA,NA,NA,NA,"04100552.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"07:46:12",NA,NA,NA,NA,"04100553.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"07:46:13",NA,NA,NA,NA,"04100554.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-27,"03:32:44",NA,NA,NA,NA,"06270714.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-09,"04:30:48",NA,NA,NA,NA,"04090737.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-09,"04:30:46",NA,NA,NA,NA,"04090735.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:54",NA,NA,NA,NA,"04100804.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:52",NA,NA,NA,NA,"04100800.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:53",NA,NA,NA,NA,"04100801.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:50",NA,NA,NA,NA,"04100797.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:51",NA,NA,NA,NA,"04100798.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:53",NA,NA,NA,NA,"04100802.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:54",NA,NA,NA,NA,"04100803.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-10,"05:01:17",NA,NA,NA,NA,"04100547.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-09,"04:30:45",NA,NA,NA,NA,"04090734.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:44",NA,NA,NA,NA,"04100791.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"07:51:43",NA,NA,NA,NA,"04100806.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-06-27,"03:32:41",NA,NA,NA,NA,"06270712.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"05:06:43",NA,NA,NA,NA,"04100790.JPG","Ocelot"
"Leopardus pardalis","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-10,"07:51:41",NA,NA,NA,NA,"04100805.JPG","Ocelot"
"Leopardus tigrinus","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-24,"04:38:18",NA,NA,NA,NA,"04240172.JPG",NA
