Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM zone,Cmr_S_D,Cmr_E_D,Date,Time
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU05C,No,5.4721605,101.5034418,777397,605435,,11/2/2009,1/2/2010,11/8/2009,6:45
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU05C,No,5.4721605,101.5034418,777397,605435,,11/2/2009,1/2/2010,11/26/2009,22:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU05C,No,5.4721605,101.5034418,777397,605435,,11/2/2009,1/2/2010,11/27/2009,19:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/2010,5/15/2010,3/9/2010,21:54
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/2010,5/15/2010,3/16/2010,20:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/2010,5/15/2010,3/19/2010,21:09
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/2010,5/15/2010,4/30/2010,4:59
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/2010,5/15/2010,5/3/2010,16:41
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/2010,5/15/2010,5/3/2010,17:22
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU53A,No,5.3157186,101.4526504,771835,588103,,9/3/2009,1/11/2010,9/5/2009,22:42
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU53A,No,5.3157186,101.4526504,771835,588103,,9/3/2009,1/11/2010,9/14/2009,22:02
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU53A,No,5.3157186,101.4526504,771835,588103,,9/3/2009,1/11/2010,10/25/2009,1:49
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12B,No,5.4629376,101.5091117,778029,604417,,1/5/2010,1/31/2010,1/10/2010,20:41
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12B,No,5.4629376,101.5091117,778029,604417,,1/5/2010,1/31/2010,1/16/2010,19:48
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12B,No,5.4629376,101.5091117,778029,604417,,1/5/2010,1/31/2010,1/25/2010,23:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/2010,5/13/2010,3/3/2010,21:25
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/2010,5/13/2010,3/23/2010,0:00
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/2010,5/13/2010,3/23/2010,2:38
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/2010,5/13/2010,3/29/2010,23:07
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/2010,5/13/2010,4/22/2010,3:43
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/2010,5/13/2010,4/24/2010,21:49
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/2010,5/13/2010,4/25/2010,2:05
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU13B,No,5.4652264,101.5291782,780253,604680,,2/26/2010,5/16/2010,2/27/2010,20:14
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU13B,No,5.4652264,101.5291782,780253,604680,,2/26/2010,5/16/2010,5/10/2010,20:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU13C,No,5.4546703,101.5210511,779357,603508,,1/3/2010,2/26/2010,1/19/2010,21:57
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14A,No,5.465888,101.5416471,781636,604759,,2/28/2010,5/15/2010,4/10/2010,22:17
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14A,No,5.465888,101.5416471,781636,604759,,2/28/2010,5/15/2010,4/13/2010,21:16
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14A,No,5.465888,101.5416471,781636,604759,,2/28/2010,5/15/2010,4/14/2010,7:03
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/9/2010,20:21
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/9/2010,21:37
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/9/2010,23:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/11/2010,5:18
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/14/2010,4:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/16/2010,4:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/17/2010,1:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/18/2010,6:54
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/2010,2/28/2010,1/31/2010,1:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/2009,2/26/2010,11/14/2009,19:39
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/2009,2/26/2010,12/10/2009,18:52
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/2009,2/26/2010,12/13/2009,19:13
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/2009,2/26/2010,12/17/2009,9:38
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/2009,2/26/2010,12/19/2009,23:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/2009,2/26/2010,1/13/2010,21:31
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/2009,2/26/2010,2/3/2010,0:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Old logging road,PU19B,No,5.4441306,101.5287998,780221,602345,,2/20/2010,3/19/2010,3/15/2010,4:02
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU19C,No,5.4368948,101.5224077,779516,601542,,10/25/2009,2/20/2010,11/17/2009,5:38
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/2009,12/23/2009,10/30/2009,19:05
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/2009,12/23/2009,11/17/2009,20:45
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/2009,12/23/2009,12/7/2009,5:02
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/2009,12/23/2009,12/7/2009,8:51
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/2009,12/23/2009,12/7/2009,20:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/2009,12/23/2009,12/11/2009,8:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU21B,No,5.4258658,101.4597997,772579,600293,,11/3/2009,12/28/2009,12/10/2009,6:01
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU22C,No,5.4221621,101.4638881,773034,599885,,10/24/2009,2/18/2010,11/1/2009,5:01
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU22C,No,5.4221621,101.4638881,773034,599885,,10/24/2009,2/18/2010,11/27/2009,4:17
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU25C,No,5.4215936,101.5248222,779791,599850,,2/20/2010,5/10/2010,3/22/2010,18:55
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU25C,No,5.4215936,101.5248222,779791,599850,,2/20/2010,5/10/2010,4/13/2010,20:04
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU26A,No,5.4252929,101.5427486,781777,600267,,2/18/2010,5/7/2010,3/25/2010,19:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU26A,No,5.4252929,101.5427486,781777,600267,,2/18/2010,5/7/2010,4/4/2010,3:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27B,No,5.4248369,101.5645706,784197,600227,,2/18/2010,5/7/2010,4/22/2010,5:24
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,10/31/2009,5:56
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,11/8/2009,19:27
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,12/8/2009,21:00
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,1/9/2010,6:39
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,1/10/2010,7:56
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,1/16/2010,22:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,1/17/2010,0:08
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,1/18/2010,6:07
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/2009,2/18/2010,1/18/2010,6:25
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU31D,No,5.4017688,101.4752017,774297,597634,,2/20/2010,5/6/2010,3/15/2010,19:45
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU31D,No,5.4017688,101.4752017,774297,597634,,2/20/2010,5/6/2010,4/3/2010,20:22
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU31D,No,5.4017688,101.4752017,774297,597634,,2/20/2010,5/6/2010,4/23/2010,6:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU32A,No,5.4109787,101.487992,775711,598658,,10/15/2009,2/21/2010,1/18/2010,6:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU34D,No,5.380224,101.4199801,768184,595225,,1/21/2010,4/6/2010,2/18/2010,18:53
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU34D,No,5.380224,101.4199801,768184,595225,,1/21/2010,4/6/2010,3/25/2010,7:51
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/2009,1/20/2010,10/13/2009,1:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/2009,1/20/2010,10/21/2009,20:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/2009,1/20/2010,12/9/2009,19:59
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/2009,1/20/2010,12/31/2009,23:08
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35D,No,5.3808939,101.4367284,770040,595307,,1/20/2010,4/7/2010,2/20/2010,22:26
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU36C,No,5.3792495,101.445761,771043,595129,,9/11/2009,9/23/2009,9/23/2009,5:50
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU37A,No,5.3885556,101.4655582,773234,596167,,10/21/2009,2/16/2010,1/1/2010,21:25
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU37A,No,5.3885556,101.4655582,773234,596167,,10/21/2009,2/16/2010,1/19/2010,7:20
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU37A,No,5.3885556,101.4655582,773234,596167,,10/21/2009,2/16/2010,1/19/2010,20:09
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Old logging road,PU40C,No,5.3678756,101.4334159,769679,593865,,1/20/2010,4/8/2010,2/24/2010,20:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU42A,No,5.3733131,101.4696432,773694,594483,,9/14/2009,1/21/2010,10/5/2009,21:49
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU45D,No,5.3458513,101.4582315,772440,591439,,9/6/2009,1/13/2010,10/21/2009,6:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU45D,No,5.3458513,101.4582315,772440,591439,,9/6/2009,1/13/2010,11/29/2009,6:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU46A,No,5.35184,101.4677697,773496,592106,,9/14/2009,12/2/2009,10/6/2009,4:14
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU46C,No,5.3478179,101.467006,773413,591661,,1/21/2010,4/7/2010,3/13/2010,3:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU46C,No,5.3478179,101.467006,773413,591661,,1/21/2010,4/7/2010,3/13/2010,5:55
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU48D,No,5.3283087,101.4385977,770271,589490,,9/4/2009,1/12/2010,9/15/2009,2:02
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU53D,No,5.314201,101.4551586,772114,587936,,1/11/2010,3/29/2010,1/27/2010,22:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU53D,No,5.314201,101.4551586,772114,587936,,1/11/2010,3/29/2010,2/28/2010,3:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Old logging road,PU54B,No,5.3195248,101.4739894,774200,588533,,9/10/2009,1/16/2010,9/18/2009,21:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU54C,No,5.3120092,101.465391,773249,587698,,1/17/2010,4/3/2010,1/23/2010,9:27
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU54C,No,5.3120092,101.465391,773249,587698,,1/17/2010,4/3/2010,2/27/2010,20:28
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55A,No,5.3196321,101.4844926,775364,588550,,9/9/2009,1/15/2010,12/3/2009,6:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55A,No,5.3196321,101.4844926,775364,588550,,9/9/2009,1/15/2010,12/5/2009,20:30
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55A,No,5.3196321,101.4844926,775364,588550,,9/9/2009,1/15/2010,12/6/2009,4:05
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55C,No,5.3133017,101.4858406,775517,587850,,1/16/2010,4/4/2010,1/27/2010,20:03
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56A,No,5.3013492,101.4298007,769307,586503,,8/24/2009,1/8/2010,9/2/2009,5:25
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56A,No,5.3013492,101.4298007,769307,586503,,8/24/2009,1/8/2010,10/4/2009,6:12
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56B,No,5.3009255,101.4380877,770226,586460,,1/8/2010,3/28/2010,1/10/2010,19:47
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56B,No,5.3009255,101.4380877,770226,586460,,1/8/2010,3/28/2010,2/4/2010,3:27
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56B,No,5.3009255,101.4380877,770226,586460,,1/8/2010,3/28/2010,3/13/2010,5:44
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU59C,No,5.2938275,101.4871077,775666,585696,,9/4/2009,1/18/2010,11/3/2009,22:01
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU59C,No,5.2938275,101.4871077,775666,585696,,9/4/2009,1/18/2010,12/11/2009,7:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU59C,No,5.2938275,101.4871077,775666,585696,,9/4/2009,1/18/2010,12/29/2009,19:13
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/2009,1/7/2010,8/21/2009,20:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/2009,1/7/2010,9/5/2009,23:35
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/2009,1/7/2010,9/25/2009,6:51
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/2009,1/7/2010,10/1/2009,1:49
